id,headword,created,updated,_order,lemma_id,definition
1456,damnum -ī n.,2022-11-13 20:45:17.151954+00,2022-11-13 20:45:17.151964+00,216,12843,"damage, injury"
1457,dē,2022-11-13 20:45:17.156529+00,2022-11-13 20:45:17.156539+00,217,12911,"down from, about, concerning (+ abl.)"
1458,dea -ae f.,2022-11-13 20:45:17.16205+00,2022-11-13 20:45:17.162061+00,218,13064,goddess
1459,dēbeō dēbēre dēbuī dēbitum,2022-11-13 20:45:17.167038+00,2022-11-13 20:45:17.167049+00,219,13087,"owe, be obliged"
1460,decem,2022-11-13 20:45:17.172012+00,2022-11-13 20:45:17.172022+00,220,13127,ten
1461,dēcernō -cernere -crēvī -crētum,2022-11-13 20:45:17.176855+00,2022-11-13 20:45:17.176866+00,221,13163,"determine, decide"
1462,decet decēre decuīt,2022-11-13 20:45:17.182076+00,2022-11-13 20:45:17.182086+00,222,13173,"it is right, proper, fitting (+ acc. + infin.)"
1463,decus decoris n.,2022-11-13 20:45:17.186908+00,2022-11-13 20:45:17.186917+00,223,13284,"beauty, grace; ornament, glory, honor"
1464,dēdūcō -dūcere -dūxī -ductum,2022-11-13 20:45:17.191614+00,2022-11-13 20:45:17.191624+00,224,13317,"launch, lead away"
1465,dēfendō -fendere -fendī -fēnsum,2022-11-13 20:45:17.196069+00,2022-11-13 20:45:17.196079+00,225,13343,"defend, ward off"
1466,dēferō -ferre -tulī -lātum,2022-11-13 20:45:17.200977+00,2022-11-13 20:45:17.200987+00,226,13357,"carry away, report"
1467,deficiō -ficere -fēcī -fectum,2022-11-13 20:45:17.205767+00,2022-11-13 20:45:17.205777+00,227,13366,"fail, give out; revolt from"
1468,deinde or dein,2022-11-13 20:45:17.210248+00,2022-11-14 20:54:19.086529+00,228,13482,"then, next"
1469,dēnique,2022-11-13 20:45:17.215034+00,2022-11-13 20:45:17.215045+00,229,13743,finally
1470,dēscendō -scendere -scendī -scēnsum,2022-11-13 20:45:17.219681+00,2022-11-13 20:45:17.219691+00,230,13964,"climb down, descend"
1471,dēserō -ere dēseruī dēsertum,2022-11-13 20:45:17.224446+00,2022-11-13 20:45:17.224457+00,231,13984,"leave, desert, abandon"
1472,dēsīderō -āre,2022-11-13 20:45:17.229699+00,2022-11-13 20:45:17.229709+00,232,14001,"long for, desire greatly"
1473,dēsinō -sinere -siī -situm,2022-11-13 20:45:17.23517+00,2022-11-13 20:45:17.23518+00,233,14014,"leave off, cease"
1474,dēsum -esse -fuī,2022-11-13 20:45:17.239812+00,2022-11-13 20:45:17.239822+00,234,14106,be lacking
1475,deus -ī m.,2022-11-13 20:45:17.244395+00,2022-11-13 20:45:17.244405+00,235,14177,god
1476,dexter -tra -trum,2022-11-13 20:45:17.249149+00,2022-11-13 20:45:17.249159+00,236,14249,right
1477,dextera -ae f.,2022-11-13 20:45:17.253777+00,2022-11-13 20:45:17.253787+00,237,14250,right hand
1478,dīcō dīcere dīxī dictum,2022-11-13 20:45:17.258339+00,2022-11-13 20:45:17.25835+00,238,14388,"say; causam dīcere, plead a case; diem dīcere, appoint a day"
1479,diēs diēī m./f.,2022-11-13 20:45:17.263065+00,2022-11-14 21:01:53.374482+00,239,14426,day
1480,differō differre distulī dīlātum,2022-11-13 20:45:17.267715+00,2022-11-13 20:45:17.267725+00,240,14440,"scatter; publish, divulge; differ; defer, postpone"
1481,difficilis -e,2022-11-13 20:45:17.272409+00,2022-11-13 20:45:17.272419+00,241,14443,"not easy, hard, difficult"
1482,dīgnitās -ātis f.,2022-11-13 20:45:17.277391+00,2022-11-13 20:45:17.277402+00,242,14503,"worth, reputation, honor"
1483,dīgnus -a -um,2022-11-13 20:45:17.281971+00,2022-11-13 20:45:17.281981+00,243,14509,worthy
1484,dīligō -ligere -lēxī -lēctum,2022-11-13 20:45:17.286848+00,2022-11-13 20:45:17.286858+00,244,14551,"choose, cherish, love"
1485,dīmittō -mittere -mīsī -missum,2022-11-13 20:45:17.296672+00,2022-11-13 20:45:17.296682+00,245,14594,send away
1486,discēdō -ere -cessī -cessum,2022-11-13 20:45:17.301355+00,2022-11-13 20:45:17.301365+00,246,14701,"go away, depart"
1487,disciplīna -ae f.,2022-11-13 20:45:17.306158+00,2022-11-13 20:45:17.306168+00,247,14726,"training, instruction; learning, discipline"
1488,discō -ere didicī,2022-11-13 20:45:17.310966+00,2022-11-13 20:45:17.310976+00,248,14739,learn
1489,diū,2022-11-13 20:45:17.316371+00,2022-11-13 20:45:17.316381+00,249,15133,for a long time
1490,dīversus -a -um,2022-11-13 20:45:17.321127+00,2022-11-13 20:45:17.321137+00,250,15160,"different, diverse"
1491,dīves dīvitis,2022-11-13 20:45:17.325725+00,2022-11-13 20:45:17.325736+00,251,15162,"rich (poet. dīs, dītis)"
1492,dīvidō -ere dīvīsī dīvīsum,2022-11-13 20:45:17.330281+00,2022-11-13 20:45:17.330291+00,252,15168,"divide, separate"
1493,dīvitiae -ārum f. pl.,2022-11-13 20:45:17.334858+00,2022-11-13 20:45:17.334868+00,253,15194,"riches, wealth"
1494,dīvus -a -um,2022-11-13 20:45:17.339516+00,2022-11-13 20:45:17.339526+00,254,15206,"divine, godlike"
1495,dīvus dīvī m.,2022-11-13 20:45:17.344085+00,2022-11-13 20:45:17.344095+00,255,15207,god
1496,dō dare dedī datum,2022-11-13 20:45:17.349311+00,2022-11-13 20:45:17.349321+00,256,15208,give
1497,doceō -ēre -uī doctum,2022-11-13 20:45:17.354189+00,2022-11-13 20:45:17.354199+00,257,15209,teach
1498,doleō -ēre doluī,2022-11-13 20:45:17.359367+00,2022-11-13 20:45:17.359377+00,258,15262,"feel pain or grief, grieve"
1499,dolor -ōris m.,2022-11-13 20:45:17.364198+00,2022-11-13 20:45:17.364208+00,259,15279,"pain, grief"
1500,dolus -ī m.,2022-11-13 20:45:17.370662+00,2022-11-13 20:45:17.370672+00,260,15284,"artifice, device, trick"
1501,domina -ae f.,2022-11-13 20:45:17.37566+00,2022-11-13 20:45:17.37567+00,261,15297,"household mistress, lady"
1502,dominus -ī m.,2022-11-13 20:45:17.380415+00,2022-11-13 20:45:17.380425+00,262,15309,"household master, lord"
1503,domus -ūs f.,2022-11-13 20:45:17.38505+00,2022-11-13 20:45:17.38506+00,263,15327,"house, home"
1504,dōnec,2022-11-13 20:45:17.389919+00,2022-11-13 20:45:17.389929+00,264,15338,until
1505,dōnō -āre,2022-11-13 20:45:17.394576+00,2022-11-13 20:45:17.394586+00,265,15341,present with a gift (+ acc. of person and abl. of thing)
1506,dōnum -ī n.,2022-11-13 20:45:17.399272+00,2022-11-13 20:45:17.399281+00,266,15342,"gift, present"
1507,dormiō -īre,2022-11-13 20:45:17.404054+00,2022-11-13 20:45:17.404064+00,267,15358,sleep
1508,dubitō -āre,2022-11-13 20:45:17.410585+00,2022-11-13 20:45:17.410595+00,268,15457,"hesitate, doubt"
1509,dubius -a -um,2022-11-13 20:45:17.415343+00,2022-11-13 20:45:17.415353+00,269,15459,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly"
2382,"dūcō, dūcere, dūxī, ductus",2022-11-13 20:45:22.10038+00,2022-11-14 19:56:09.731475+00,117,15474,to lead
1511,dulcis -e,2022-11-13 20:45:17.424692+00,2022-11-13 20:45:17.424702+00,271,15507,sweet
1512,dum,2022-11-13 20:45:17.429195+00,2022-11-13 20:45:17.429205+00,272,15520,while (+ indic.); until (+ subj.); provided that (+ subj.)
1513,duo duae duo,2022-11-13 20:45:17.434389+00,2022-11-13 20:45:17.434399+00,273,15520,two
2387,"duō, duae, duō",2022-11-13 20:45:22.122282+00,2022-11-14 20:57:55.029527+00,122,15531,two
1514,dūrus -a -um,2022-11-13 20:45:17.439129+00,2022-11-13 20:45:17.439139+00,274,15532,"hard, tough, harsh"
1515,dux ducis m./f.,2022-11-13 20:45:17.44396+00,2022-11-13 20:45:17.44397+00,275,15604,"leader, general"
1516,ecce,2022-11-13 20:45:17.448486+00,2022-11-13 20:45:17.448496+00,276,15611,behold!
1517,ēdīcō -dīcere -dīxī -dictum,2022-11-13 20:45:17.453151+00,2022-11-13 20:45:17.453162+00,277,15684,declare
1518,ēdō ēdere ēdidī ēditum,2022-11-13 20:45:17.458012+00,2022-11-13 20:45:17.458022+00,278,15770,"put forth, state, explain"
1519,ēdūcō -dūcere -dūxī -ductum,2022-11-13 20:45:17.462859+00,2022-11-13 20:45:17.462869+00,279,15784,lead forth
1520,efficiō -ficere -fēcī -fectum,2022-11-13 20:45:17.467395+00,2022-11-15 00:35:14.32947+00,280,15838,"bring about, complete; render (+ ut + subj.)"
1521,effundō -fundere -fūdī -fūsum,2022-11-13 20:45:17.472087+00,2022-11-13 20:45:17.472097+00,281,15885,pour out
1522,ego meī mihi mē,2022-11-13 20:45:17.478195+00,2022-11-13 20:45:17.478206+00,282,15917,"I, me"
1523,ēgredior ēgredī ēgressus sum,2022-11-13 20:45:17.48305+00,2022-11-13 20:45:17.483061+00,283,15918,"stride out, depart, disembark from (+ abl.)"
1524,ēgregius -a -um,2022-11-13 20:45:17.488794+00,2022-11-13 20:45:17.488804+00,284,15922,"distinguished, uncommon"
1525,ēligō ēligere ēlēgī ēlēctum,2022-11-13 20:45:17.494713+00,2022-11-13 20:45:17.494724+00,285,16050,"pick out, select"
1526,enim,2022-11-13 20:45:17.500264+00,2022-11-13 20:45:17.500274+00,286,16350,"for, indeed"
1528,eō,2022-11-13 20:45:17.510231+00,2022-11-13 20:45:17.510242+00,288,16421,"(adv.) there, to that place"
1527,eō īre iī/īvī itum,2022-11-13 20:45:17.50526+00,2022-11-13 20:45:17.505271+00,287,16420,go
1529,epistula -ae f.,2022-11-13 20:45:17.515105+00,2022-11-13 20:45:17.515115+00,289,16552,letter
1530,eques equitis m.,2022-11-13 20:45:17.51985+00,2022-11-13 20:45:17.519861+00,290,16609,"horseman, knight"
1531,equus -ī m.,2022-11-13 20:45:17.524484+00,2022-11-13 20:45:17.524494+00,291,16631,horse
1532,ergō,2022-11-13 20:45:17.529332+00,2022-11-13 20:45:17.529342+00,292,16677,therefore
1533,ēripiō -ripere -ripuī -reptum,2022-11-13 20:45:17.534184+00,2022-11-13 20:45:17.534194+00,293,16706,"snatch away, rescue, save"
1534,errō -āre,2022-11-13 20:45:17.538717+00,2022-11-13 20:45:17.538727+00,294,16736,"go astray, wander"
1535,error -ōris m.,2022-11-13 20:45:17.543347+00,2022-11-13 20:45:17.543358+00,295,16739,"wandering; error, mistake"
1536,et,2022-11-13 20:45:17.547962+00,2022-11-13 20:45:17.547972+00,296,16842,and
1537,etiam,2022-11-13 20:45:17.552413+00,2022-11-13 20:45:17.552424+00,297,16862,"also, even"
1538,"ex, ē",2022-11-13 20:45:17.557075+00,2022-11-13 20:45:17.557085+00,298,17082,"out of, from (+ abl.)"
1539,excipiō -cipere -cēpī -ceptum,2022-11-13 20:45:17.56155+00,2022-11-13 20:45:17.561561+00,299,17242,take out
1540,exemplum -ī n.,2022-11-13 20:45:17.567108+00,2022-11-13 20:45:17.567118+00,300,17354,"example, sample, copy"
1541,exeō -īre -iī -itum,2022-11-13 20:45:17.571579+00,2022-11-13 20:45:17.571589+00,301,17360,go forth
1542,exerceō -ercēre -ercuī -ercitum,2022-11-13 20:45:17.576342+00,2022-11-13 20:45:17.576352+00,302,17362,"train, exercise, carry on"
1543,exercitus -ūs m.,2022-11-13 20:45:17.58138+00,2022-11-13 20:45:17.58139+00,303,17378,army
1544,exigō -igere -ēgī -āctum,2022-11-13 20:45:17.586998+00,2022-11-13 20:45:17.587008+00,304,17438,drive out; collect
1545,exīstimō -āre,2022-11-13 20:45:17.591773+00,2022-11-13 20:45:17.591783+00,305,17462,"think, believe"
1546,experior -perīrī -pertus sum,2022-11-13 20:45:17.596761+00,2022-11-13 20:45:17.596772+00,306,17633,"try thoroughly, test, experience"
1547,exsilium -ī n.,2022-11-13 20:45:17.601389+00,2022-11-13 20:45:17.601399+00,307,17854,"exile, banishment"
1548,exspectō -āre,2022-11-13 20:45:17.606458+00,2022-11-13 20:45:17.606469+00,308,17879,"watch, wait, expect"
1549,extrēmus -a -um,2022-11-13 20:45:17.611554+00,2022-11-13 20:45:17.611564+00,309,18024,"farthest, situated at the end or tip, extreme"
1550,fābula -ae f.,2022-11-13 20:45:17.616162+00,2022-11-13 20:45:17.616172+00,310,18129,"account, tale, story"
1551,faciēs -ēī f.,2022-11-13 20:45:17.620578+00,2022-11-13 20:45:17.620588+00,311,18147,"form, appearance"
1552,facilis -e,2022-11-13 20:45:17.625168+00,2022-11-13 20:45:17.625178+00,312,18149,easy
1553,facinus facinoris n.,2022-11-13 20:45:17.62997+00,2022-11-13 20:45:17.62998+00,313,18152,"deed, crime"
1554,faciō facere fēcī factum,2022-11-13 20:45:17.63492+00,2022-11-13 20:45:17.63493+00,314,18153,"do, make"
1555,factum -ī n.,2022-11-13 20:45:17.63974+00,2022-11-13 20:45:17.63975+00,315,18166,"deed, accomplishment"
1556,fallō fallere fefellī falsum,2022-11-13 20:45:17.649342+00,2022-11-13 20:45:17.649352+00,316,18247,deceive
1557,falsus -a -um,2022-11-13 20:45:17.65433+00,2022-11-13 20:45:17.65434+00,317,18264,"deceptive, false"
1558,fāma -ae f.,2022-11-13 20:45:17.659345+00,2022-11-13 20:45:17.659355+00,318,18266,"rumor, fame"
1559,famēs -is f.,2022-11-13 20:45:17.664843+00,2022-11-13 20:45:17.664853+00,319,18270,"hunger, famine"
1560,familia -ae f.,2022-11-13 20:45:17.669916+00,2022-11-13 20:45:17.669926+00,320,18276,"household, family"
1561,fateor fatērī fassus sum,2022-11-13 20:45:17.674993+00,2022-11-13 20:45:17.675003+00,321,18383,"admit, confess; profess, declare; assent, say yes"
1562,fātum -ī n.,2022-11-13 20:45:17.680196+00,2022-11-13 20:45:17.680206+00,322,18400,fate; death
1563,fax facis f.,2022-11-13 20:45:17.685145+00,2022-11-13 20:45:17.685155+00,323,18441,torch
1564,fēlīciter,2022-11-13 20:45:17.690037+00,2022-11-13 20:45:17.690047+00,324,18471,luckily
1565,fēlīx -īcis,2022-11-13 20:45:17.699004+00,2022-11-13 20:45:17.699015+00,325,18476,lucky
1566,fēmina -ae f.,2022-11-13 20:45:17.705482+00,2022-11-13 20:45:17.705492+00,326,18489,woman
1567,fera -ae f.,2022-11-13 20:45:17.711+00,2022-11-13 20:45:17.71101+00,327,18505,wild animal
1568,ferē,2022-11-13 20:45:17.716672+00,2022-11-13 20:45:17.716682+00,328,18512,almost
1569,ferō ferre tulī lātum,2022-11-13 20:45:17.721595+00,2022-11-13 20:45:17.721605+00,329,18537,"bear, carry, endure"
1570,ferrum -ī n.,2022-11-13 20:45:17.727002+00,2022-11-13 20:45:17.727013+00,330,18562,"iron, iron weapon or implement"
1571,ferus -a -um,2022-11-13 20:45:17.731822+00,2022-11-13 20:45:17.731832+00,331,18580,"wild, fierce"
1572,fessus -a -um,2022-11-13 20:45:17.737023+00,2022-11-13 20:45:17.737033+00,332,18597,"weary, tired"
1573,fidēlis -e,2022-11-13 20:45:17.742032+00,2022-11-13 20:45:17.742042+00,333,18688,faithful
1574,fidēs -eī f.,2022-11-13 20:45:17.747104+00,2022-11-13 20:45:17.747114+00,334,18699,"trust, faith"
1575,fīlia -ae f.,2022-11-13 20:45:17.752082+00,2022-11-13 20:45:17.752092+00,335,18739,daughter
1576,fīlius -ī m.,2022-11-13 20:45:17.756895+00,2022-11-13 20:45:17.756905+00,336,18750,son
1577,fingō fingere fīnxī fīctum,2022-11-13 20:45:17.761735+00,2022-11-13 20:45:17.761746+00,337,18764,shape; invent
1578,fīnis -is m.,2022-11-13 20:45:17.766758+00,2022-11-13 20:45:17.766769+00,338,18767,"end, boundary"
1579,fīō fierī factus sum,2022-11-13 20:45:17.771521+00,2022-11-13 20:45:17.771531+00,339,18774,"become, happen, be done"
1580,flamma -ae f.,2022-11-13 20:45:17.776306+00,2022-11-13 20:45:17.776315+00,340,18861,"flame, fire"
1581,fleō flēre flēvī flētum,2022-11-13 20:45:17.781067+00,2022-11-13 20:45:17.781077+00,341,18908,weep
1582,flōs flōris m.,2022-11-13 20:45:17.785844+00,2022-11-13 20:45:17.785855+00,342,18957,"flower, bloom"
1583,fluctus -ūs m,2022-11-13 20:45:17.790783+00,2022-11-13 20:45:17.790793+00,343,18975,"flood, billow, surf"
1584,flūmen -inis n.,2022-11-13 20:45:17.796927+00,2022-11-13 20:45:17.796937+00,344,18988,"stream, river"
1585,fluō fluere fluxī fluxum,2022-11-13 20:45:17.801708+00,2022-11-13 20:45:17.801718+00,345,18993,flow
1586,foedus -a -um,2022-11-13 20:45:17.806476+00,2022-11-13 20:45:17.806486+00,346,19030,foul
1587,fōns fontis m.,2022-11-13 20:45:17.811731+00,2022-11-13 20:45:17.811741+00,347,19051,"spring, fountain"
1588,for fārī fātus sum,2022-11-13 20:45:17.816603+00,2022-11-13 20:45:17.816613+00,348,19061,"report, say"
2129,fore,2022-11-13 20:45:20.860045+00,2022-11-13 20:45:20.860056+00,889,46256,[future infinitive]
1589,fōrma -ae f.,2022-11-13 20:45:17.825678+00,2022-11-13 20:45:17.825688+00,349,19090,shape; beauty
1590,fors fortis f.,2022-11-13 20:45:17.830759+00,2022-11-13 20:45:17.830769+00,350,19148,chance
1591,forsitan,2022-11-13 20:45:17.835721+00,2022-11-13 20:45:17.835731+00,351,19151,"perhaps, perchance"
1592,fortasse,2022-11-13 20:45:17.841702+00,2022-11-13 20:45:17.841712+00,352,19152,"perhaps, perchance"
1593,forte,2022-11-13 20:45:17.846656+00,2022-11-13 20:45:17.846666+00,353,19155,by chance
1594,fortis -e,2022-11-13 20:45:17.851564+00,2022-11-13 20:45:17.851574+00,354,19160,brave
1595,fortūna -ae f.,2022-11-13 20:45:17.856333+00,2022-11-13 20:45:17.856343+00,355,19166,fortune
1596,forum -ī n.,2022-11-13 20:45:17.861305+00,2022-11-13 20:45:17.861316+00,356,19174,"market-place, forum"
1597,frangō frangere frēgī frāctum,2022-11-13 20:45:17.865989+00,2022-11-13 20:45:17.865999+00,357,19220,"break, shatter"
1598,frāter frātris m.,2022-11-13 20:45:17.870679+00,2022-11-13 20:45:17.870689+00,358,19221,brother
1599,frequēns -ntis,2022-11-13 20:45:17.875443+00,2022-11-13 20:45:17.875453+00,359,19269,"in large numbers, often"
1600,frōns frontis f.,2022-11-13 20:45:17.881005+00,2022-11-13 20:45:17.881015+00,360,19345,"forehead, brow; front"
1601,frūctus -ūs m.,2022-11-13 20:45:17.885756+00,2022-11-13 20:45:17.885766+00,361,19361,"fruit, crops; enjoyment, delight"
1602,frūmentum -ī n.,2022-11-13 20:45:17.890623+00,2022-11-13 20:45:17.890633+00,362,19382,grain
1603,fruor fruī frūctus sum,2022-11-13 20:45:17.895409+00,2022-11-13 20:45:17.895419+00,363,19384,"enjoy the produce of, profit by, use (+ abl.)"
1604,frūstrā,2022-11-13 20:45:17.900165+00,2022-11-13 20:45:17.900175+00,364,19391,in vain
1605,fuga -ae f.,2022-11-13 20:45:17.904961+00,2022-11-13 20:45:17.904971+00,365,19425,"flight, route"
1606,fugiō fugere fūgī fugitum,2022-11-13 20:45:17.91509+00,2022-11-13 20:45:17.9151+00,366,19436,"flee, escape"
1607,fugō -āre,2022-11-13 20:45:17.921188+00,2022-11-13 20:45:17.921198+00,367,19442,put to flight
1608,fundō fundere fūdī fūsum,2022-11-13 20:45:17.926201+00,2022-11-13 20:45:17.926212+00,368,19542,"pour, scatter"
1609,fūnus fūneris n.,2022-11-13 20:45:17.935358+00,2022-11-13 20:45:17.935369+00,369,19568,funeral; death; dead body
1610,furor -ōris m.,2022-11-13 20:45:17.943227+00,2022-11-13 20:45:17.943237+00,370,19620,"rage, fury"
1611,gaudeō gaudēre gāvīsus sum,2022-11-13 20:45:17.953412+00,2022-11-13 20:45:17.953422+00,371,19829,rejoice
1612,gaudium -ī n.,2022-11-13 20:45:17.958502+00,2022-11-13 20:45:17.958512+00,372,19833,"delight, joy, pleasure"
1613,gēns gentis f.,2022-11-13 20:45:17.963307+00,2022-11-13 20:45:17.963318+00,373,19974,"family, clan"
1614,genus generis n.,2022-11-13 20:45:17.971129+00,2022-11-13 20:45:17.971139+00,374,19990,"origin, lineage, kind"
1615,gerō gerere gessī gestum,2022-11-13 20:45:17.975864+00,2022-11-13 20:45:17.975874+00,375,20030,"bear, manage; bellum gerere, wage war"
1616,gīgnō gīgnere genuī genitum,2022-11-13 20:45:17.98111+00,2022-11-13 20:45:17.98112+00,376,20087,"beget, bear, bring forth"
1617,gladius -ī m.,2022-11-13 20:45:17.985676+00,2022-11-13 20:45:17.985686+00,377,20119,sword
1618,glōria -ae f.,2022-11-13 20:45:17.99355+00,2022-11-13 20:45:17.99356+00,378,20181,"glory, fame"
1619,gradus -ūs m.,2022-11-13 20:45:17.998281+00,2022-11-13 20:45:17.998292+00,379,20314,"step, pace; grade, rank"
1620,grātia -ae f.,2022-11-13 20:45:18.011175+00,2022-11-13 20:45:18.011186+00,380,20408,"favor, influence, gratitude"
1621,grātus -a -um,2022-11-13 20:45:18.016784+00,2022-11-13 20:45:18.016794+00,381,20431,pleasant; grateful
1622,gravis -e,2022-11-13 20:45:18.022611+00,2022-11-13 20:45:18.022621+00,382,20451,"heavy, serious"
1623,habeō habēre habuī habitum,2022-11-13 20:45:18.028856+00,2022-11-13 20:45:18.028867+00,383,20586,"have, hold"
1624,haud,2022-11-13 20:45:18.034577+00,2022-11-13 20:45:18.034587+00,384,20792,not
1626,hīc,2022-11-13 20:45:18.04699+00,2022-11-13 20:45:18.047+00,386,21155,here
1625,hic haec hoc,2022-11-13 20:45:18.040102+00,2022-11-13 20:45:18.040112+00,385,21154,"this, these"
1627,hiems hiemis f.,2022-11-13 20:45:18.055274+00,2022-11-13 20:45:18.055284+00,387,21163,winter
1628,hinc,2022-11-13 20:45:18.066058+00,2022-11-13 20:45:18.066068+00,388,21214,from here
1629,hodiē,2022-11-13 20:45:18.079104+00,2022-11-13 20:45:18.079114+00,389,21339,today
1630,homō hominis m.,2022-11-13 20:45:18.085185+00,2022-11-13 20:45:18.085195+00,390,21376,human being
1631,honestus -a -um,2022-11-13 20:45:18.091044+00,2022-11-13 20:45:18.091055+00,391,21400,honorable
1632,honor -ōris m.,2022-11-13 20:45:18.096613+00,2022-11-13 20:45:18.096623+00,392,21401,"honor, glory; office, post"
1633,hōra -ae f.,2022-11-13 20:45:18.1032+00,2022-11-13 20:45:18.103211+00,393,21424,hour
1634,hortor hortārī hortātus sum,2022-11-13 20:45:18.109276+00,2022-11-13 20:45:18.109286+00,394,21499,"urge strongly, advise, exhort"
1635,hospes hospitis m.,2022-11-13 20:45:18.115055+00,2022-11-13 20:45:18.115066+00,395,21505,"guest, guest-friend; stranger; host"
1636,hostis -is m./f.,2022-11-13 20:45:18.120919+00,2022-11-13 20:45:18.120929+00,396,21531,"stranger, enemy"
1637,hūc,2022-11-13 20:45:18.127216+00,2022-11-13 20:45:18.127226+00,397,21535,to this place
1638,hūmānus -a -um,2022-11-13 20:45:18.132467+00,2022-11-13 20:45:18.132477+00,398,21548,human
1639,humus -ī f.,2022-11-13 20:45:18.137682+00,2022-11-13 20:45:18.137693+00,399,21562,ground; humī: on the ground
1640,iaceō iacēre iacuī,2022-11-13 20:45:18.143747+00,2022-11-13 20:45:18.143758+00,400,21766,lie
1641,iaciō iacere iēcī iactum,2022-11-13 20:45:18.149276+00,2022-11-13 20:45:18.149285+00,401,21768,"throw, hurl"
1642,iam,2022-11-13 20:45:18.155049+00,2022-11-13 20:45:18.155059+00,402,21800,now; already
1643,ibi,2022-11-13 20:45:18.167142+00,2022-11-13 20:45:18.167152+00,403,21866,there
1644,īctus -ūs m.,2022-11-13 20:45:18.171957+00,2022-11-13 20:45:18.171967+00,404,21901,"blow, stroke"
1645,īdem eadem idem,2022-11-13 20:45:18.176648+00,2022-11-13 20:45:18.176658+00,405,21912,the same
1646,ideō,2022-11-13 20:45:18.181703+00,2022-11-13 20:45:18.181713+00,406,21914,for this reason
1647,igitur,2022-11-13 20:45:18.187368+00,2022-11-13 20:45:18.187378+00,407,21963,therefore
1648,ignis -is m.,2022-11-13 20:45:18.191912+00,2022-11-13 20:45:18.191922+00,408,21986,fire
1649,ille illa illud,2022-11-13 20:45:18.196366+00,2022-11-13 20:45:18.196376+00,409,22070,that
1650,illīc,2022-11-13 20:45:18.201165+00,2022-11-13 20:45:18.201175+00,410,22091,"at that place, there"
1651,illinc,2022-11-13 20:45:18.205828+00,2022-11-13 20:45:18.205839+00,411,22105,from that place
1652,illūc,2022-11-13 20:45:18.211295+00,2022-11-13 20:45:18.211305+00,412,22119,to that place
1653,imāgō -inis f.,2022-11-13 20:45:18.216403+00,2022-11-13 20:45:18.216413+00,413,22179,"image, form, figure"
1654,imperātor -ōris m.,2022-11-13 20:45:18.221071+00,2022-11-13 20:45:18.221081+00,414,22393,commander
1655,imperium -ī n.,2022-11-13 20:45:18.225467+00,2022-11-13 20:45:18.225478+00,415,22416,"command, power"
1656,imperō -āre,2022-11-13 20:45:18.231249+00,2022-11-13 20:45:18.231259+00,416,22422,"command, control"
1657,impetus -ūs m.,2022-11-13 20:45:18.23589+00,2022-11-13 20:45:18.2359+00,417,22454,attack
1658,impleō -ēre -plēvī -plētum,2022-11-13 20:45:18.240483+00,2022-11-13 20:45:18.240493+00,418,22484,"fill in, fill up"
1659,impōnō -ere -posuī -positum,2022-11-13 20:45:18.245166+00,2022-11-13 20:45:18.245176+00,419,22510,"put in, put on, impose, levy upon"
1660,in,2022-11-13 20:45:18.250117+00,2022-11-13 20:45:18.250128+00,420,22638,"in, on (+ abl.); into, onto (+ acc.)"
1661,incidō incidere incidī,2022-11-13 20:45:18.255862+00,2022-11-13 20:45:18.255873+00,421,22865,"fall upon, fall into; happen"
1662,incipiō -cipere -cēpī -ceptum,2022-11-13 20:45:18.260597+00,2022-11-13 20:45:18.260607+00,422,22876,begin
1663,inde,2022-11-13 20:45:18.265297+00,2022-11-13 20:45:18.265307+00,423,23201,"from there, from then"
1664,indicō -āre,2022-11-13 20:45:18.27005+00,2022-11-13 20:45:18.27006+00,424,23289,"point out, show, make known"
1665,īnferō īnferre intulī illātum,2022-11-13 20:45:18.275936+00,2022-11-13 20:45:18.275947+00,425,23629,"bring upon, against; bellum īnferre: make war on"
1666,īnferus -a -um,2022-11-13 20:45:18.280961+00,2022-11-13 20:45:18.280972+00,426,23632,low; īnferior: lower; īnfimus or īmus: lowest
1667,ingenium -ī n.,2022-11-13 20:45:18.286358+00,2022-11-13 20:45:18.286368+00,427,23801,"disposition, ability, talent"
1668,ingēns ingentis,2022-11-13 20:45:18.290827+00,2022-11-13 20:45:18.290838+00,428,23802,"huge, enormous"
1669,ingrātus -a -um,2022-11-13 20:45:18.295404+00,2022-11-13 20:45:18.295414+00,429,23829,"unpleasant, disagreeable"
1670,ingredior -gredī -gressus sum,2022-11-13 20:45:18.300055+00,2022-11-13 20:45:18.300065+00,430,23834,"step in, enter"
1671,inimīcus -a -um,2022-11-13 20:45:18.304714+00,2022-11-13 20:45:18.304724+00,431,23914,unfriendly; (as subst.) enemy
1672,initium -ī n.,2022-11-13 20:45:18.3094+00,2022-11-13 20:45:18.309411+00,432,23934,beginning
1673,iniūria -ae f.,2022-11-13 20:45:18.314052+00,2022-11-13 20:45:18.314063+00,433,23946,"injustice, wrong, affront"
1674,"inquam, inquis, inquit, inquiunt",2022-11-13 20:45:18.318715+00,2022-11-13 20:45:18.318725+00,434,24210,say (used with direct speech)
1675,īnstituō -stituere -stituī -stitūtum,2022-11-13 20:45:18.323349+00,2022-11-13 20:45:18.323359+00,435,24538,undertake; equip
1676,īnsula -ae f.,2022-11-13 20:45:18.328606+00,2022-11-13 20:45:18.328616+00,436,24589,island
